energy_100g,proteins_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,sodium_100g,fiber_100g,kcal,category
8.0,0.2,0.1,0.1,7.6,7.6,0.0393700787401575,0.1,1.9120458891013383,1
109.0,0.8,0.1,0.1,5.1,4.3,0.118110236220472,0.7,26.051625239005734,1
1710.0,8.16,14.3,6.12,69.4,28.6,0.276,12.2,408.69980879541106,2
1670.0,8.0,0.0,0.0,88.0,12.0,0.56,0.0,399.1395793499044,2
1590.0,3.45,3.45,1.72,89.7,41.4,0.466,10.3,380.019120458891,2
1480.0,6.45,0.0,0.0,87.1,29.0,0.613,9.68,353.7284894837476,2
1260.0,0.0,30.0,1.67,6.67,0.0,0.367,0.0,301.1472275334608,3
2389.0,3.57,35.71,3.57,60.71,3.57,1.357,3.6,570.9847036328872,3
1577.0,3.6,10.3,1.6,65.2,43.5,0.15748031496063,3.3,376.9120458891013,2
2160.0,9.41,25.9,10.6,58.8,49.4,0.047,2.35,516.2523900573614,2
1180.0,10.26,2.56,0.0,58.97,7.69,0.59,2.6,282.0267686424474,2
1255.0,10.0,5.83,0.83,53.33,6.67,0.483,1.7,299.9521988527725,2
640.0,4.71,7.06,4.12,18.8,17.1,0.0529,0.0,152.96367112810708,2D
192.0,0.0,0.0,0.0,11.67,11.67,0.015,0.0,45.88910133843212,1
1238.0,8.45,2.82,0.7,57.75,8.45,0.577,1.4,295.8891013384321,2
1071.0,10.26,3.85,0.0,51.28,5.13,0.487,2.6,255.97514340344168,2
494.0,0.0,0.0,0.0,29.41,23.53,0.941,0.0,118.06883365200764,3
494.0,0.0,0.0,0.0,29.41,23.53,0.941,0.0,118.06883365200764,3
1833.0,12.5,9.38,1.56,75.0,0.0,0.5,12.5,438.09751434034416,2
494.0,0.0,0.0,0.0,29.41,23.53,0.941,0.0,118.06883365200764,3
368.0,0.0,0.0,0.0,23.53,23.53,1.118,0.0,87.95411089866157,3
494.0,0.0,0.0,0.0,29.41,23.53,0.941,0.0,118.06883365200764,3
