product_name,Size g,Product type,category,country,retailer,HSR,nutrient_energy_kj,protein_g_per_100g,fat_g_per_100g,sat_fat_g_per_100g,carbohydrates,sugars_g_per_100g,sodium_mg_per_100g,fiber_g_per_100g,ingredients_text,date_collected,allergen,data_source,kcal_per_100g
Woolworths 10 Beef Sausages 550g,550,meat,2,Australia,woolworths,1.5,1060.0,15.3,19.9,8.3,4.0,1.0,509.0,0.0,"Beef (71%), Water, Seasoning (Potato Starch, RiceFlour, Salt, Maize Starch, Plant Fibres (Bamboo, Pea, Psyllium Husk), Mineral Salt (451), VegetablePowders (Onion, Garlic), Yeast Extract, Preservative (223 (Sulphites)), Spices, Antioxidant (Ascorbic Acid), Spice Extract, Natural Flavour, Herbs), Vegetable Casing (Water, Thickener (401), Stabiliser (Guar Gum), Acidity Regulators (Citric Acid, Lactic Acid), Preservative (223 (Sulphites)), FirmingAgent (509)).",29/10/25,Sulphites,,253.34608030592733
Woolworths Aussie Beef Gluten Free Sausage Mince,500,meat,2,Australia,woolworths,1.5,1100.0,15.7,20.5,8.5,4.1,1.0,502.0,0.0,"Beef (73%), Water, Seasoning (Potato Starch, Rice Flour, Salt, Maize Starch, Plant Fibres (Bamboo, Pea, Psyllium Husk), Mineral Salt (451), Vegetable Powders (Onion, Garlic), Yeast Extract, Preservative (223 (Sulphites)), Spices, Antioxidant (Ascorbic Acid), Spice Extract, Natural Flavour, Herbs)",29/10/25,Sulphites,,262.90630975143404
Peppercorn Extra Lean Beef Burger 6 Pack,500,meat,2,Australia,woolworths,4.0,622.0,13.3,8.0,3.0,5.5,1.2,450.0,0.0,"Australian Beef (70%), Carrot, Sauteed Onion, Rice Flour, Salt, Parsley, Preservative (223), Mineral Salt (451), Herbs and Spices, Spice Extract (Paprika Oleoresin).",29/10/25,Sulphites,,148.66156787762907
Woolworths 4 Angus Quarter Pound Beef Burgers,454,meat,2,Australia,woolworths,3.5,877.0,18.1,14.6,5.6,1.7,1.0,447.0,0.0,"Beef (85%), Water, Sauteed Onion (Onion, Canola Oil), Seasoning (Sea Salt, Rice Flour, Potato Fibre, Spice (Pepper), Maize Flour, Mineral Salt (451), Preservative (223 (Sulphites)), Rice Bran, Tapioca Starch)",29/10/25,Sulphites,,209.60803059273425
Woolworths 10 Pork Sausages,550,meat,2,Australia,woolworths,2.0,1030.0,11.4,20.1,7.6,5.4,1.0,478.0,0.0,"Pork (71%), Water, Seasoning (Rice Flour, Salt, Potato Fibre, Potato Starch, Mineral Salt (451), Dextrose (Tapioca, Maize), Dehydrated Vegetables (Onion, Garlic), Preservative (223 (Sulphites)), Yeast Extract, Canola Oil, Ginger, Antioxidant (Ascorbic Acid), Spice Extract, Rosemary Extract, Orange Oil), Vegetable Casing (Water, Thickener (401), Stabiliser (Guar Gum), Acidity Regulators (Citric Acid, Lactic Acid), Preservative (223 (Sulphites)), Firming Agent (509))",29/10/25,Sulphites,,246.1759082217973
Woolworths 10 Chicken Sausages ,550,meat,2,Australia,woolworths,3.5,628.0,14.2,8.0,2.4,5.3,1.0,502.0,0.0,"RSPCA Approved Chicken (76%), Water, Seasoning (Potato Starch, Rice Flour, Maize Starch, Salt, Plant Fibres (Bamboo, Pea, Psyllium Husk), Vegetable Powders (Onion, Garlic), Mineral Salt (451), Yeast Extract, Preservative (223 (Sulphites)), Spices, Natural Flavour, Herbs), Vegetable Casing (Water, Thickener (401), Stabiliser (Guar Gum), Acidity Regulators (Citric Acid, Lactic Acid), Preservative (223 (Sulphites)), Firming Agent (509))",29/10/25,Sulphites,,150.09560229445506
Woolworths 16 Beef Chipolatas,550,meat,2,Australia,woolworths,1.5,1060.0,15.3,19.9,8.3,4.0,1.0,509.0,0.0,"Beef (71%), Water, Seasoning (Potato Starch, Rice Flour, Salt, Maize Starch, Plant Fibres (Bamboo, Pea, Psyllium Husk), Mineral Salt (451), Vegetable Powders (Onion, Garlic), Yeast Extract, Preservative (223 (Sulphites)), Spices, Antioxidant (Ascorbic Acid), Spice Extract, Natural Flavour, Herbs), Vegetable Casing (Water, Thickener (401), Stabiliser (Guar Gum), Acidity Regulators (Citric Acid, Lactic Acid), Preservative (223 (Sulphites)), Firming Agent (509))",29/10/25,Sulphites,,253.34608030592733
Macro Organic Classic Beef Meatballs ,400,meat,2,Australia,woolworths,3.0,828.0,16.3,12.6,6.3,5.0,1.0,342.0,0.0,"Australian Organic Beef (83%), Water, Organic Sauteed Onion (Organic Onion, Organic Beef Fat), Organic Rice Flour, Organic Tapioca Starch, Salt, Organic Spices, Organic Sugar, Organic Vegetable Powders (Onion & Garlic), Natural Flavour, Fermented Red Rice.",29/10/25,,,197.8967495219885
Macro Australian Organic 6 Beef Sausage ,450,meat,2,Australia,woolworths,3.0,898.0,16.1,14.4,6.6,5.4,1.0,408.0,0.0,"Australian Organic Beef (80%), Water, Organic Rice Flour, Organic Tapioca Starch, Organic Sauteed Onion (Organic Onion, Organic Beef Fat), Salt, Organic Onion Powder, Yeast Extract, Organic Dehydrated Garlic, Organic Spices, Organic Herbs, Organic Buffered Vinegar, Hog Sausage Casing.",29/10/25,,,214.6271510516252
Woolworths Heart Smart Extra Lean Beef Mince,500,meat,2,Australia,woolworths,4.5,545.0,21.2,5.0,2.3,1.0,1.0,56.0,0.0,Australian Beef (100%),29/10/25,,,130.25812619502867
